LexFound,IsHS,HS Comment,NO HS,
ကုလားတွေ,0,,1,
ဖွတ်သူခိုး,0,,1,
အောက်တန်းကျ,0,,1,
ဖွတ်,0,,1,
မြို့သား,0,,1,
မြို့သား,0,,1,
အောက်တန်းကျ,0,,1,
မြို့သား,0,,1,
ဖွတ်,0,,1,
ဝူဟန်,0,,1,
ဝူဟန်တရုတ်,0,,1,
ဝူဟန်,0,,1,
နီပေါ,0,,1,
မြို့သား,0,,1,
မြို့သား,0,,1,
ဝူဟန်,0,,1,
ဝူဟန်,0,,1,
မြို့သား,0,,1,
မြို့သား,0,,1,
ဝူဟန်,0,,1,
မြို့သား,0,,1,
ခွေးသား,0,,1,
မြို့သား,0,,1,
ရွာသား,0,,1,
မြို့သား,0,,1,
မြို့သား,0,,1,
စစ်ခွေး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
သူပုန်,0,,1,
ဖင်ယား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ငလူး,0,,1,
သူခိုး,0,,1,
ဖွတ်သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
တောသား,0,,1,
ဖွတ်,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
ကြံ့ဖွတ်,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
ဖွတ်,0,,1,
စစ်ခွေး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
အောက်တန်းကျ,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
မွတ်ကုလား,0,,1,
မွတ်ကုလား,0,,1,
မွတ်ကုလား,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖင်ယား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
အောက်တန်းကြ,0,,1,
ကုလားတွေ,0,,1,
ဖွတ်သူခိုး,0,,1,
ဖွတ်သူခိုး,0,,1,
အောက်တန်းကျ,0,,1,
ဖွတ်,0,,1,
အကြမ်းဖက်,0,,1,
အမျိုးယုတ်,0,,1,
ခွေးသား,0,,1,
ဖင်ယား,0,,1,
အစွန်းရောက်,0,,1,
ကုလားတွေ,1,,0,
သူခိုး,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
ခွေးသား,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
အောက်တန်းကျ,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ခွေးသား,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်သူခိုး,0,,1,
ခွေးသား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖင်ယား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
မွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
အမျိုးယုတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
စစ်ခွေး,0,,1,
အောက်တန်းစား,0,,1,
သူခိုး,0,,1,
စစ်ခွေး,0,,1,
ခွေးသား,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
စစ်ခွေး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
အောက်တန်းကျ,0,,1,
