LexFound,IsHS,HS Comment(True),HS Comment(False),No hs comment
ဖွတ်,0,0,1,1
ဖွတ်,0,0,1,1
သူခိုး,0,0,1,1
အောက်တန်းကျ,0,0,1,1
သူပုန်,0,0,1,1
အောက်တန်းစား,0,0,1,1
သူခိုး,0,0,1,1
အောက်တန်းစား,0,0,1,1
စစ်ခွေး,0,0,1,1
သူခိုး,0,0,1,1
ဖင်ယား,0,0,1,1
ဖွတ်,0,0,1,1
စစ်ခွေး,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
အောက်တန်းစား,0,0,1,1
စစ်အာဏာရှင်,0,0,1,1
ဖွတ်,0,0,1,1
သူခိုး,1,1,0,0
AAသူပုန်,0,0,1,1
ဖင်ယား,0,0,1,1
ဖင်ယား,0,0,1,1
တောသား,0,0,1,1
ဖင်ယား,0,0,1,1
ဖင်ယား,0,0,1,1
တောသား,0,0,1,1
ဖင်ယား,0,0,1,1
ဖင်ယား,0,0,1,1
ငလူး,0,0,1,1
ဖင်ယား,0,0,1,1
တောသား,0,0,1,1
ဖင်ယား,0,0,1,1
ဖင်ယား,0,0,1,1
တောသား,0,0,1,1
အောက်တန်းကျ,0,0,1,1
တောသား,0,0,1,1
သူခိုး,0,0,1,1
သူခိုး,0,0,1,1
အောက်တန်းစား,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
ဗမာတွေ,0,0,1,1
ခွေးသား,0,0,1,1
သူပုန်,0,0,1,1
အကြမ်းဖက်,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
ဖင်ယား,0,0,1,1
ခွေးဝဲစား,0,0,1,1
အမျိုးယုတ်,0,0,1,1
စစ်အာဏာရှင်,0,0,1,1
အကြမ်းဖက်,0,0,1,1
သူပုန်,0,0,1,1
အကြမ်းဖက်,0,0,1,1
သူပုန်,0,0,1,1
ဖွတ်သူခိုး,0,0,1,1
အကြမ်းဖက်,0,0,1,1
ရွာသား,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
အကြမ်းဖက်,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
သူပုန်,0,0,1,1
အကြမ်းဖက်,0,0,1,1
အောက်တန်းကျ,0,0,1,1
သူပုန်,0,0,1,1
ကြံ့ဖွတ်,0,0,1,1
ခွေးသား,0,0,1,1
သူပုန်,0,0,1,1
ဗမာတွေ,0,0,1,1
ဖွတ်,0,0,1,1
သူပုန်,0,0,1,1
